lKI410,4KI,2,33,007,Algorithmen und Datenstrukturen
pKI410,4KI,2,0,007,Algorithmen und Datenstrukturen Praktikum
lKI420,4KI,2,41,008,Software Engineering I
pKI420,4KI,2,0,008,Software Engineering I Praktikum
lKI430,4KI,4,42,002,Natural Language Processing
pKI430,4KI,2,0,002-001,Natural Language Processing Praktikum
lKI440,4KI,4,37,003,Machine Learning II
pKI440,4KI,2,0,003-001-002,Machine Learning II Praktikum
lKI450,4KI,2,49,001,Künstliche Intelligenz II
pKI450,4KI,2,0,001,Künstliche Intelligenz II Praktikum
lKI610,6KI,2,22,007,Big Data Algorithms
pKI610,6KI,2,0,007,Big Data Algorithms Praktikum
lKI620,6KI,2,37,002,Machine Learning III
pKI620,6KI,2,0,002-003-001,Machine Learning III Praktikum
lIB010,1IB,4,44,009,Grundlagen der Informatik
lIB015,1IB,4,29,007,Grundlagen der theoretischen Informatik
pIB015,1IB,2,0,007-004,Grundlagen der theoretischen Informatik
